Дата начисления;Группа услуг;Тип начисления;Артикул;Название товара;Количество;Цена продавца;Вознаграждение Ozon, %;Сумма итого, руб.
16.01.2026;Продажи;Выручка;DU-23F;Ройбуш Крем-карамель 500 гр;1;2 201,00 ₽;0%;1 479,05 ₽
16.01.2026;Продажи;Программы партнёров;DU-23F;Ройбуш Крем-карамель 500 гр;1;2 201,00 ₽;0%;14,79 ₽
16.01.2026;Продажи;Баллы за скидки;DU-23F;Ройбуш Крем-карамель 500 гр;1;2 201,00 ₽;0%;707,16
16.01.2026;Вознаграждение Ozon;Вознаграждение за продажу;DU-23F;Ройбуш Крем-карамель 500 гр;1;2 201,00 ₽;35%;-770,35 ₽
16.01.2026;Услуги партнёров;Обработка отправления Drop-off партнёрами (АПВЗ);DU-23F;Ройбуш Крем-карамель 500 гр;1;2 201,00 ₽;35%;-20,00 ₽
16.01.2026;Услуги партнёров;Доставка до места выдачи;DU-23F;Ройбуш Крем-карамель 500 гр;1;2 201,00 ₽;35%;-25,00 ₽
16.01.2026;Услуги партнёров;Временное размещение товара партнерами;DU-42C;Чай зеленый листовой Зеленый кактус 500 г, Душистый уголок. Крупнолистовой чай с лепестками кактуса, карамелью и дыней, рассыпной.;1;0,00 ₽;0%;-84,00 ₽
16.01.2026;Услуги доставки;Обработка отправления Drop-off (ПВЗ);DU-22B;Каркаде 500 гр чай из лепестков суданской розы (гибискус);1;1 370,00 ₽;35%;-10,00 ₽
16.01.2026;Услуги доставки;Логистика;DU-22B;Каркаде 500 гр чай из лепестков суданской розы (гибискус);1;1 370,00 ₽;35%;-117,94 ₽
16.01.2026;Продажи;Выручка;DU-22B;Каркаде 500 гр чай из лепестков суданской розы (гибискус);1;1 370,00 ₽;0%;849,22 ₽
16.01.2026;Продажи;Программы партнёров;DU-22B;Каркаде 500 гр чай из лепестков суданской розы (гибискус);1;1 370,00 ₽;0%;8,49 ₽
16.01.2026;Продажи;Баллы за скидки;DU-22B;Каркаде 500 гр чай из лепестков суданской розы (гибискус);1;1 370,00 ₽;0%;512,29
16.01.2026;Вознаграждение Ozon;Вознаграждение за продажу;DU-22B;Каркаде 500 гр чай из лепестков суданской розы (гибискус);1;1 370,00 ₽;35%;-479,50 ₽
16.01.2026;Услуги партнёров;Обработка отправления Drop-off партнёрами (АПВЗ);DU-22B;Каркаде 500 гр чай из лепестков суданской розы (гибискус);1;1 370,00 ₽;35%;-20,00 ₽
16.01.2026;Услуги партнёров;Доставка до места выдачи;DU-22B;Каркаде 500 гр чай из лепестков суданской розы (гибискус);1;1 370,00 ₽;35%;-6,68 ₽
16.01.2026;Другие услуги и штрафы;Обработка операционных ошибок продавца: отгрузка в нерекомендованный слот;;;0;0,00 ₽;0%;-100,00 ₽
17.01.2026;Услуги доставки;Обработка отправления Drop-off (ПВЗ);DU-42C-1;Зеленый кактус 1 кг зеленый чай с лепестками кактуса и натуральным карамельно-дынным ароматом;1;4 400,00 ₽;35%;-10,00 ₽
17.01.2026;Услуги доставки;Логистика;DU-42C-1;Зеленый кактус 1 кг зеленый чай с лепестками кактуса и натуральным карамельно-дынным ароматом;1;4 400,00 ₽;35%;-141,33 ₽
17.01.2026;Продажи;Выручка;DU-42C-1;Зеленый кактус 1 кг зеленый чай с лепестками кактуса и натуральным карамельно-дынным ароматом;1;4 400,00 ₽;0%;2 888,57 ₽
17.01.2026;Продажи;Программы партнёров;DU-42C-1;Зеленый кактус 1 кг зеленый чай с лепестками кактуса и натуральным карамельно-дынным ароматом;1;4 400,00 ₽;0%;28,89 ₽
17.01.2026;Продажи;Баллы за скидки;DU-42C-1;Зеленый кактус 1 кг зеленый чай с лепестками кактуса и натуральным карамельно-дынным ароматом;1;4 400,00 ₽;0%;1 482,54
17.01.2026;Вознаграждение Ozon;Вознаграждение за продажу;DU-42C-1;Зеленый кактус 1 кг зеленый чай с лепестками кактуса и натуральным карамельно-дынным ароматом;1;4 400,00 ₽;35%;-1 540,00 ₽
17.01.2026;Услуги партнёров;Обработка отправления Drop-off партнёрами (АПВЗ);DU-42C-1;Зеленый кактус 1 кг зеленый чай с лепестками кактуса и натуральным карамельно-дынным ароматом;1;4 400,00 ₽;35%;-20,00 ₽
17.01.2026;Услуги партнёров;Доставка до места выдачи;DU-42C-1;Зеленый кактус 1 кг зеленый чай с лепестками кактуса и натуральным карамельно-дынным ароматом;1;4 400,00 ₽;35%;-25,00 ₽
17.01.2026;Другие услуги и штрафы;Обработка операционных ошибок продавца: отгрузка в нерекомендованный слот;;;0;0,00 ₽;0%;-100,00 ₽
20.01.2026;Услуги партнёров;Эквайринг;DU-05H;Юннань FOP чёрный чай 500 гр;1;0,00 ₽;0%;-11,09 ₽
23.01.2026;Услуги доставки;Обработка отправления Drop-off (ПВЗ);DU-22B;Каркаде 500 гр чай из лепестков суданской розы (гибискус);1;1 370,00 ₽;35%;-10,00 ₽
23.01.2026;Услуги доставки;Логистика;DU-22B;Каркаде 500 гр чай из лепестков суданской розы (гибискус);1;1 370,00 ₽;35%;-117,94 ₽
23.01.2026;Продажи;Выручка;DU-22B;Каркаде 500 гр чай из лепестков суданской розы (гибискус);1;1 370,00 ₽;0%;806,60 ₽
23.01.2026;Продажи;Программы партнёров;DU-22B;Каркаде 500 гр чай из лепестков суданской розы (гибискус);1;1 370,00 ₽;0%;8,07 ₽
23.01.2026;Продажи;Баллы за скидки;DU-22B;Каркаде 500 гр чай из лепестков суданской розы (гибискус);1;1 370,00 ₽;0%;555,33
23.01.2026;Вознаграждение Ozon;Вознаграждение за продажу;DU-22B;Каркаде 500 гр чай из лепестков суданской розы (гибискус);1;1 370,00 ₽;35%;-479,50 ₽
